id,accession,collection_date,year,month,day,host__autocolour,isolate,isolation_source__autocolour,country__autocolour,country__shape
KX832731,KX832731.1,24-Aug-2016,2016,8,24,Homo sapiens,ZIKV/Homo_sapiens/USA//2016/Hu0015SA,saliva,USA,circle
KX838904,KX838904.2,22-Aug-2016,2016,8,22,Aedes aegypti,ZIKV/Aedes_aegypti/USA/2016/FL01M,pool of 39 adult mosquitoes,USA,circle
KX838905,KX838905.2,23-Aug-2016,2016,8,23,Aedes aegypti,ZIKV/Aedes_aegypti/USA/2016/FL02M,pool of 25 adult mosquitoes,USA,circle
KX838906,KX838906.2,23-Aug-2016,2016,8,23,Aedes aegypti,ZIKV/Aedes_aegypti/USA/2016/FL03M,pool of 15 adult mosquitoes,USA,circle
KX842449,KX842449.2,22-Jun-2016,2016,6,22,Homo sapiens,ZIKV/Homo_sapiens/USA/2016/FL010U,urine,USA or Cuba,square
KX922703,KX922703.1,19-Jul-2016,2016,7,19,Homo sapiens,ZIKV/Homo_sapiens/USA/2016/FL021U,urine,USA,circle
KX922704,KX922704.1,02-Aug-2016,2016,8,2,Homo sapiens,ZIKV/Homo_sapiens/USA/2016/FL030U,urine,USA,circle
KX922705,KX922705.1,05-Aug-2016,2016,8,5,Homo sapiens,ZIKV/Homo_sapiens/USA/2016/FL032U,urine,USA,circle
KX922706,KX922706.1,05-Aug-2016,2016,8,5,Homo sapiens,ZIKV/Homo_sapiens/USA/2016/FL038U,urine,USA,circle
KX922707,KX922707.1,17-Aug-2016,2016,8,17,Homo sapiens,ZIKV/Homo_sapiens/USA/2016/FL039U,urine,USA,circle
KX922708,KX922708.1,04-Sep-2016,2016,9,4,Aedes aegypti,ZIKV/Aedes_aegypti/USA/2016/FL04M,pool of 50 adult mosquitoes,USA,circle
KY075932,KY075932.1,3/22/16,2016,3,22,Homo sapiens,ZIKV/Homo_sapiens/USA/2016/FL001Sa,saliva,Martinique,hexagon
